channel,messages_posted,members_who_posted,name,id,total_membership,avg_messages_per_user
sherlock-holmes,479,32,sherlock-holmes,C09UGHZ150B,72.0,14.96875
shoot-your-shot,2087,207,shoot-your-shot,C0A2UP0L8AU,565.0,10.082125603864734
smile-while-at-it,243,23,smile-while-at-it,C0A2SMJRD5E,38.0,10.565217391304348
social,49,33,social,C09N5SVAL1E,31.0,1.4848484848484849
sports,3044,367,sports,C09BME62SLT,456.0,8.294277929155314
stage-zero,4456,1701,stage-zero,C09L5KUJ9J6,1.0,2.6196355085243974
stage-zero-data-analyst,2381,751,stage-zero-data-analyst,C09LAFZR8LC,1.0,3.170439414114514
test-private1-1761083435,1,1,test-private1-1761083435,C09MMB10S4T,0.0,1.0
test-private2-deleteme,1,1,test-private2-deleteme,C09MC47MBB9,0.0,1.0
test-public-channel-delete-me,1,1,test-public-channel-delete-me,C09MQ45QLA2,0.0,1.0
testing,1,1,testing,C0A0Y7RP94H,0.0,1.0
ticket-approval,728,48,ticket-approval,C09RG6TP610,0.0,15.166666666666666
track-automations,990,166,track-automations,C09L3FQ0HU5,0.0,5.963855421686747
track-backend,5205,737,track-backend,C09L3EU4HA9,0.0,7.062415196743555
track-devops,2613,388,track-devops,C09L3FNNQ69,0.0,6.734536082474227
track-frontend,3461,757,track-frontend,C09LKRNGX1P,0.0,4.571994715984148
track-graphics,725,133,track-graphics,C09LKSN6YDP,0.0,5.451127819548872
track-marketing,605,166,track-marketing,C09KRFVTSQP,0.0,3.644578313253012
track-mobile,866,146,track-mobile,C09L3FL3MJR,0.0,5.931506849315069
track-pm,1965,461,track-pm,C09L3FXBSGM,0.0,4.262472885032538
track-qa,676,152,track-qa,C09L70DRE9Y,0.0,4.447368421052632
track-ui-ux,3929,679,track-ui-ux,C09L0GL4AUB,0.0,5.786450662739322
track-video,461,128,track-video,C09L4SZF31C,0.0,3.6015625
track-virtual-assistant,1397,331,track-virtual-assistant,C09L4T30LPQ,0.0,4.220543806646526
z-business-ideas-and-feedback,50,13,z-business-ideas-and-feedback,C09LDRV8A66,40.0,3.8461538461538463
z-gamers-lounge,6,5,z-gamers-lounge,C09L7DLBHD1,16.0,1.2
z-snaps-like-snapchat,12,7,z-snaps-like-snapchat,C09LAC0H9UM,16.0,1.7142857142857142
